timestamp,open,high,low,close,adjusted close,volume,dividend amount
2013-09-13,183.6800,193.1000,183.3100,192.1700,111.3811,18194900,0.0000
2013-09-06,183.6300,185.0000,182.3100,183.0300,106.0835,11856200,0.0000
2013-08-30,185.2700,187.0000,181.1000,182.2700,105.6431,15052200,0.0000
2013-08-23,185.3000,186.5700,183.1685,185.4200,107.4688,14564700,0.0000
2013-08-16,186.9700,189.9900,185.3400,185.3400,107.4224,16580500,0.0000
2013-08-09,195.1600,195.8800,186.7900,187.8200,108.8598,20128300,0.9500
2013-08-02,196.8300,197.8300,193.2215,195.1600,112.5470,15338600,0.0000
2013-07-26,193.4000,197.8300,193.2804,197.3500,113.8100,14719100,0.0000
2013-07-19,192.4200,200.9400,191.6800,193.5400,111.6128,31679400,0.0000
2013-07-12,195.6000,195.7800,190.7800,192.0700,110.7650,20715900,0.0000
