time,MIDPRICE
2021-06-14,118.5876
2021-06-11,118.4817
2021-06-10,118.4817
2021-06-09,117.5960
2021-06-08,117.2482
2021-06-07,116.6644
2021-06-04,116.1886
2021-06-03,115.1690
2021-06-02,114.6532
2021-06-01,114.6532
2021-05-28,114.6413
2021-05-27,114.6413
2021-05-26,114.6413
2021-05-25,114.6413
2021-05-24,114.6413
2021-05-21,115.6728
2021-05-20,115.6728
2021-05-19,115.6728
2021-05-18,115.7608
2021-05-17,115.7608
2021-05-14,115.7608
2021-05-13,114.8984
2021-05-12,114.8984
2021-05-11,114.8984
2021-05-10,114.8984
2021-05-07,114.3793
2021-05-06,114.3793
2021-05-05,114.3793
2021-05-04,113.2564
2021-05-03,112.8570
2021-04-30,111.2281
2021-04-29,111.2281
2021-04-28,109.5042
2021-04-27,108.8321
2021-04-26,108.7767
2021-04-23,108.7767
2021-04-22,108.7767
2021-04-21,108.3774
2021-04-20,106.8117
2021-04-19,105.2183
2021-04-16,105.5939
2021-04-15,105.5939
2021-04-14,105.5939
2021-04-13,105.5939
2021-04-12,106.4914
2021-04-09,106.4914
2021-04-08,105.5030
2021-04-07,105.5030
2021-04-06,105.5030
2021-04-05,104.7597
2021-04-01,104.7597
2021-03-31,104.7201
2021-03-30,104.6015
