time,ULTOSC
2021-10-05,51.0682
2021-10-04,55.4518
2021-10-01,56.6197
2021-09-30,45.9998
2021-09-29,48.5775
2021-09-28,41.9044
2021-09-27,44.7949
2021-09-24,44.4735
2021-09-23,42.6907
2021-09-22,40.2046
2021-09-21,33.9815
2021-09-20,38.0360
2021-09-17,36.6528
2021-09-16,37.3440
2021-09-15,36.6560
2021-09-14,34.8063
2021-09-13,35.0284
2021-09-10,36.3422
2021-09-09,42.1535
2021-09-08,47.2090
2021-09-07,38.5753
2021-09-03,41.4922
2021-09-02,44.6026
2021-09-01,42.7628
2021-08-31,50.4879
2021-08-30,46.4739
2021-08-27,43.7808
2021-08-26,41.4874
2021-08-25,49.3939
2021-08-24,51.1994
2021-08-23,52.1037
2021-08-20,52.6423
2021-08-19,49.0730
2021-08-18,48.3250
2021-08-17,59.0387
2021-08-16,58.8204
2021-08-13,51.9758
2021-08-12,55.8523
2021-08-11,50.2482
2021-08-10,47.7943
2021-08-09,45.7714
2021-08-06,44.3716
2021-08-05,42.5811
2021-08-04,45.1913
2021-08-03,49.9966
2021-08-02,42.3568
2021-07-30,49.2562
2021-07-29,46.4330
2021-07-28,49.0123
2021-07-27,49.7861
2021-07-26,51.7117
2021-07-23,48.8475
2021-07-22,45.1731
2021-07-21,46.2610
2021-07-20,44.1641
2021-07-19,53.8777
2021-07-16,52.8252
2021-07-15,57.4427
2021-07-14,44.2914
2021-07-13,43.0013
2021-07-12,45.5840
2021-07-09,46.2510
2021-07-08,42.8841
2021-07-07,39.2800
2021-07-06,37.9150
2021-07-02,34.4372
2021-07-01,47.0445
2021-06-30,53.5086
2021-06-29,45.5126
2021-06-28,44.7890
2021-06-25,46.0977
2021-06-24,42.3216
2021-06-23,43.4360
2021-06-22,48.4887
2021-06-21,45.8230
2021-06-18,40.3890
2021-06-17,44.9239
2021-06-16,49.4420
2021-06-15,55.8440
2021-06-14,57.0990
2021-06-11,60.0114
2021-06-10,56.9496
2021-06-09,61.5347
2021-06-08,57.4200
2021-06-07,57.2331
2021-06-04,55.4743
2021-06-03,49.6052
2021-06-02,46.8925
2021-06-01,42.4714
2021-05-28,49.5717
2021-05-27,48.6867
2021-05-26,49.9375
2021-05-25,51.4226
2021-05-24,55.8753
2021-05-21,51.9910
2021-05-20,51.7033
2021-05-19,47.9649
2021-05-18,43.3136
2021-05-17,49.2519
2021-05-14,48.8158
2021-05-13,49.2789
2021-05-12,48.1399
2021-05-11,50.5531
2021-05-10,49.5991
2021-05-07,53.6398
2021-05-06,55.1455
2021-05-05,47.8395
2021-05-04,49.2035
2021-05-03,45.3450
2021-04-30,48.2118
2021-04-29,53.2189
2021-04-28,58.9167
2021-04-27,58.7783
2021-04-26,57.2147
2021-04-23,62.0005
2021-04-22,59.1346
2021-04-21,64.6462
2021-04-20,57.1378
2021-04-19,51.0150
2021-04-16,52.8194
2021-04-15,50.1566
2021-04-14,57.1302
2021-04-13,52.4335
2021-04-12,57.5603
2021-04-09,57.8069
2021-04-08,52.9845
2021-04-07,57.4265
2021-04-06,59.4632
2021-04-05,61.2784
2021-04-01,57.7175
2021-03-31,61.4379
2021-03-30,60.9576
2021-03-29,65.6758
